ep : ,1,    ,ep_step : ,1,    ,state : ,129701.326162,242.226468,-52.55837,0.000571,0.001232,3.837778,    ,"ecc,a,inc:",0.001358,42203.828522,0.109367,    ,"Reward,score : ",-0.0004,-0.0004,    ,    ,Normalized_State: ,1.000472,0.001868,-0.000405,0.000571,0.001232,0.610801,    ,    ,action_values : ,-2.809483,1.5671,0.0003,    ,    ,Mass : ,1033.4745713882417,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,2,    ,state : ,129701.324897,241.992775,-52.279258,0.000571,0.001232,3.839522,    ,"ecc,a,inc:",0.001358,42203.827362,0.10924,    ,"Reward,score : ",-0.0004,-0.0009,    ,    ,Normalized_State: ,1.000472,0.001867,-0.000403,0.000571,0.001232,0.611079,    ,    ,action_values : ,-3.030844,1.5659,0.0003,    ,    ,Mass : ,1033.4741484258711,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,3,    ,state : ,129701.323111,241.758595,-52.000555,0.000571,0.001232,3.841267,    ,"ecc,a,inc:",0.001358,42203.812706,0.109113,    ,"Reward,score : ",-0.0,-0.0009,    ,    ,Normalized_State: ,1.000472,0.001865,-0.000401,0.000571,0.001232,0.611357,    ,    ,action_values : ,-2.813763,1.5052,0.0003,    ,    ,Mass : ,1033.4737254626436,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,4,    ,state : ,129701.30053,241.52439,-51.722846,0.000571,0.001232,3.843011,    ,"ecc,a,inc:",0.001359,42203.77574,0.108987,    ,"Reward,score : ",0.0008,-0.0,    ,    ,Normalized_State: ,1.000472,0.001863,-0.000399,0.000571,0.001232,0.611634,    ,    ,action_values : ,-3.104827,1.4136,0.0003,    ,    ,Mass : ,1033.4733024985283,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,5,    ,state : ,129701.243586,241.292031,-51.44836,0.000572,0.001233,3.844756,    ,"ecc,a,inc:",0.001359,42203.77762,0.10886,    ,"Reward,score : ",-0.0005,-0.0006,    ,    ,Normalized_State: ,1.000471,0.001861,-0.000397,0.000572,0.001233,0.611912,    ,    ,action_values : ,-0.696767,1.5604,0.0003,    ,    ,Mass : ,1033.4728795334395,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,6,    ,state : ,129701.246481,241.056411,-51.170896,0.000572,0.001233,3.8465,    ,"ecc,a,inc:",0.001359,42203.772894,0.108733,    ,"Reward,score : ",-0.0002,-0.0008,    ,    ,Normalized_State: ,1.000471,0.001859,-0.000395,0.000572,0.001233,0.612189,    ,    ,action_values : ,2.594799,1.5474,0.0003,    ,    ,Mass : ,1033.472456567418,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,7,    ,state : ,129701.239203,240.820339,-50.893899,0.000572,0.001233,3.848244,    ,"ecc,a,inc:",0.001361,42203.685989,0.108614,    ,"Reward,score : ",0.0026,0.0018,    ,    ,Normalized_State: ,1.000471,0.001858,-0.000393,0.000572,0.001233,0.612467,    ,    ,action_values : ,3.028116,1.1917,0.0003,    ,    ,Mass : ,1033.4720336005503,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,8,    ,state : ,129701.105343,240.600284,-50.636833,0.000574,0.001234,3.849989,    ,"ecc,a,inc:",0.001361,42203.694133,0.108502,    ,"Reward,score : ",-0.0026,-0.0008,    ,    ,Normalized_State: ,1.00047,0.001856,-0.000391,0.000574,0.001234,0.612745,    ,    ,action_values : ,-1.499219,1.0723,0.0003,    ,    ,Mass : ,1033.4716106326287,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,9,    ,state : ,129701.117789,240.392066,-50.394204,0.000573,0.001235,3.851733,    ,"ecc,a,inc:",0.001361,42203.691356,0.108374,    ,"Reward,score : ",-0.0004,-0.0012,    ,    ,Normalized_State: ,1.00047,0.001854,-0.000389,0.000573,0.001235,0.613022,    ,    ,action_values : ,-2.481906,1.5559,0.0003,    ,    ,Mass : ,1033.4711876636845,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,10,    ,state : ,129701.11351,240.154512,-50.118399,0.000573,0.001235,3.853478,    ,"ecc,a,inc:",0.001362,42203.650197,0.108249,    ,"Reward,score : ",0.0013,0.0001,    ,    ,Normalized_State: ,1.00047,0.001852,-0.000387,0.000573,0.001235,0.6133,    ,    ,action_values : ,2.647976,1.3718,0.0003,    ,    ,Mass : ,1033.4707646939019,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,11,    ,state : ,129701.050127,239.921039,-49.848392,0.000574,0.001235,3.855222,    ,"ecc,a,inc:",0.001367,42203.432753,0.108292,    ,"Reward,score : ",0.0032,0.0032,    ,    ,Normalized_State: ,1.00047,0.001851,-0.000385,0.000574,0.001235,0.613578,    ,    ,action_values : ,-2.927281,-0.3429,0.0003,    ,    ,Mass : ,1033.4703417231838,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,12,    ,state : ,129700.715126,240.00063,-49.940737,0.000577,0.001239,3.856967,    ,"ecc,a,inc:",0.001368,42203.404623,0.108172,    ,"Reward,score : ",-0.0006,0.0026,    ,    ,Normalized_State: ,1.000467,0.001851,-0.000385,0.000577,0.001239,0.613855,    ,    ,action_values : ,-1.92116,1.2161,0.0003,    ,    ,Mass : ,1033.4699187512165,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,13,    ,state : ,129700.671727,239.776413,-49.683224,0.000577,0.00124,3.858711,    ,"ecc,a,inc:",0.001368,42203.399269,0.108044,    ,"Reward,score : ",-0.0003,0.0023,    ,    ,Normalized_State: ,1.000467,0.00185,-0.000383,0.000577,0.00124,0.614133,    ,    ,action_values : ,-2.885781,1.5474,0.0003,    ,    ,Mass : ,1033.4694957775905,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,14,    ,state : ,129700.663478,239.536967,-49.409121,0.000577,0.00124,3.860456,    ,"ecc,a,inc:",0.001368,42203.417759,0.107916,    ,"Reward,score : ",-0.0012,0.0011,    ,    ,Normalized_State: ,1.000467,0.001848,-0.000381,0.000577,0.00124,0.614411,    ,    ,action_values : ,-0.361203,1.4871,0.0003,    ,    ,Mass : ,1033.4690728030496,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,15,    ,state : ,129700.691954,239.297885,-49.136334,0.000577,0.00124,3.8622,    ,"ecc,a,inc:",0.001368,42203.417403,0.107788,    ,"Reward,score : ",-0.0004,0.0007,    ,    ,Normalized_State: ,1.000467,0.001846,-0.000379,0.000577,0.00124,0.614688,    ,    ,action_values : ,-2.247721,1.5684,0.0003,    ,    ,Mass : ,1033.468649827725,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,16,    ,state : ,129700.691406,239.057432,-48.862995,0.000577,0.00124,3.863944,    ,"ecc,a,inc:",0.001367,42203.437962,0.10766,    ,"Reward,score : ",-0.0011,-0.0004,    ,    ,Normalized_State: ,1.000467,0.001844,-0.000377,0.000577,0.00124,0.614966,    ,    ,action_values : ,0.222303,1.4815,0.0003,    ,    ,Mass : ,1033.468226851631,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,17,    ,state : ,129700.72308,238.817521,-48.591175,0.000576,0.00124,3.865689,    ,"ecc,a,inc:",0.001368,42203.428218,0.107532,    ,"Reward,score : ",-0.0001,-0.0005,    ,    ,Normalized_State: ,1.000467,0.001842,-0.000375,0.000576,0.00124,0.615243,    ,    ,action_values : ,-3.141409,1.5296,0.0003,    ,    ,Mass : ,1033.467803874778,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,18,    ,state : ,129700.70807,238.576291,-48.3189,0.000577,0.00124,3.867433,    ,"ecc,a,inc:",0.001368,42203.425359,0.107403,    ,"Reward,score : ",-0.0003,-0.0008,    ,    ,Normalized_State: ,1.000467,0.00184,-0.000373,0.000577,0.00124,0.615521,    ,    ,action_values : ,-3.135217,1.5587,0.0003,    ,    ,Mass : ,1033.4673808971436,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,19,    ,state : ,129700.703667,238.334418,-48.046838,0.000577,0.00124,3.869178,    ,"ecc,a,inc:",0.001369,42203.381097,0.107277,    ,"Reward,score : ",0.0011,0.0003,    ,    ,Normalized_State: ,1.000467,0.001838,-0.000371,0.000577,0.00124,0.615799,    ,    ,action_values : ,-3.140452,1.3824,0.0003,    ,    ,Mass : ,1033.4669579186732,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,20,    ,state : ,129700.635482,238.096224,-47.779961,0.000577,0.001241,3.870922,    ,"ecc,a,inc:",0.001369,42203.378325,0.107148,    ,"Reward,score : ",-0.0003,-0.0001,    ,    ,Normalized_State: ,1.000467,0.001837,-0.000369,0.000577,0.001241,0.616076,    ,    ,action_values : ,-3.12901,1.5591,0.0003,    ,    ,Mass : ,1033.4665349392862,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,21,    ,state : ,129700.631211,237.8534,-47.508742,0.000577,0.001241,3.872667,    ,"ecc,a,inc:",0.001369,42203.374965,0.107019,    ,"Reward,score : ",-0.0003,-0.0004,    ,    ,Normalized_State: ,1.000466,0.001835,-0.000366,0.000577,0.001241,0.616354,    ,    ,action_values : ,-3.141113,1.5566,0.0003,    ,    ,Mass : ,1033.4661119589803,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,22,    ,state : ,129700.626034,237.610109,-47.237953,0.000577,0.001241,3.874411,    ,"ecc,a,inc:",0.001368,42203.40381,0.106892,    ,"Reward,score : ",-0.0015,-0.0019,    ,    ,Normalized_State: ,1.000466,0.001833,-0.000364,0.000577,0.001241,0.616632,    ,    ,action_values : ,-0.216294,1.4455,0.0003,    ,    ,Mass : ,1033.4656889778641,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,23,    ,state : ,129700.670466,237.368322,-46.969699,0.000577,0.00124,3.876156,    ,"ecc,a,inc:",0.001369,42203.377809,0.106763,    ,"Reward,score : ",0.0005,-0.0014,    ,    ,Normalized_State: ,1.000467,0.001831,-0.000362,0.000577,0.00124,0.616909,    ,    ,action_values : ,-3.14057,1.4606,0.0003,    ,    ,Mass : ,1033.465265996022,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,24,    ,state : ,129700.630411,237.12548,-46.701358,0.000577,0.001241,3.8779,    ,"ecc,a,inc:",0.00137,42203.323444,0.106638,    ,"Reward,score : ",0.0012,-0.0002,    ,    ,Normalized_State: ,1.000466,0.001829,-0.00036,0.000577,0.001241,0.617187,    ,    ,action_values : ,-2.929195,1.3332,0.0003,    ,    ,Mass : ,1033.4648430133984,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,25,    ,state : ,129700.546651,236.887478,-46.43936,0.000578,0.001242,3.879644,    ,"ecc,a,inc:",0.001372,42203.246051,0.106516,    ,"Reward,score : ",0.0021,0.0019,    ,    ,Normalized_State: ,1.000466,0.001827,-0.000358,0.000578,0.001242,0.617465,    ,    ,action_values : ,-3.132976,1.2371,0.0003,    ,    ,Mass : ,1033.4644200297917,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
