ep : ,1,    ,ep_step : ,1,    ,state : ,67246.21689,0.0,-30529.143615,0.731,0.0,0.0,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.0073,-0.0073,    ,    ,Normalized_State: ,0.518714,0.0,-0.235491,0.731,0.0,0.0,    ,    ,action_values : ,0.315906,0.805,0.0,    ,    ,Mass : ,450.0,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,2,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,0.174444,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.003,-0.0103,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.027764,    ,    ,action_values : ,0.480416,0.7085,0.0,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,3,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,0.348889,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.003,-0.0133,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.055527,    ,    ,action_values : ,0.91753,0.1568,0.0,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,4,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,0.523333,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.003,-0.0163,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.083291,    ,    ,action_values : ,0.94254,-0.2858,0.0,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,5,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,0.697778,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.003,-0.0193,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.111055,    ,    ,action_values : ,1.142448,-0.3107,0.0,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,6,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,0.872222,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.003,-0.0223,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.138818,    ,    ,action_values : ,1.199801,-0.6717,0.0,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,7,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,1.046667,    ,"ecc,a,inc:",0.731011,24364.990684,27.0002,    ,"Reward,score : ",-0.003,-0.0253,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.166582,    ,    ,action_values : ,1.122809,-0.8636,0.0,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,8,    ,state : ,67246.432868,0.020623,-30529.451128,0.731011,3e-06,1.221111,    ,"ecc,a,inc:",0.731013,24365.560739,27.000061,    ,"Reward,score : ",0.0107,-0.0146,    ,    ,Normalized_State: ,0.518716,0.0,-0.235494,0.731011,3e-06,0.194346,    ,    ,action_values : ,0.742995,-0.6912,0.0002,    ,    ,Mass : ,449.99930622499164,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,9,    ,state : ,67247.005621,-0.600714,-30529.565097,0.731013,2e-05,1.395556,    ,"ecc,a,inc:",0.731018,24366.808331,27.000064,    ,"Reward,score : ",0.0169,0.0023,    ,    ,Normalized_State: ,0.51872,-5e-06,-0.235495,0.731013,2e-05,0.22211,    ,    ,action_values : ,0.540707,0.0354,0.0002,    ,    ,Mass : ,449.99783915365674,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,10,    ,state : ,67248.215255,-0.550923,-30530.117944,0.731018,5.8e-05,1.57,    ,"ecc,a,inc:",0.731015,24367.839326,27.000071,    ,"Reward,score : ",0.0265,0.0287,    ,    ,Normalized_State: ,0.51873,-4e-06,-0.235499,0.731018,5.8e-05,0.249873,    ,    ,action_values : ,0.615494,-0.0415,0.0002,    ,    ,Mass : ,449.9960048867868,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,11,    ,state : ,67249.906026,-0.636526,-30530.892601,0.731015,0.000104,1.744444,    ,"ecc,a,inc:",0.731018,24370.288837,27.000134,    ,"Reward,score : ",0.0479,0.0767,    ,    ,Normalized_State: ,0.518743,-5e-06,-0.235505,0.731015,0.000104,0.277637,    ,    ,action_values : ,0.246267,-0.0879,0.0002,    ,    ,Mass : ,449.99363642059524,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,12,    ,state : ,67252.992957,-0.906623,-30532.359987,0.731018,0.00018,1.918889,    ,"ecc,a,inc:",0.731008,24372.870623,26.999375,    ,"Reward,score : ",0.1008,0.1775,    ,    ,Normalized_State: ,0.518767,-7e-06,-0.235516,0.731018,0.00018,0.305401,    ,    ,action_values : ,0.242424,0.415,0.0002,    ,    ,Mass : ,449.99047686680365,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,13,    ,state : ,67257.581531,0.973057,-30533.649383,0.731008,0.00029,2.093333,    ,"ecc,a,inc:",0.730989,24376.236392,26.99664,    ,"Reward,score : ",0.1985,0.376,    ,    ,Normalized_State: ,0.518802,8e-06,-0.235526,0.731008,0.00029,0.333164,    ,    ,action_values : ,0.034443,0.6915,0.0002,    ,    ,Mass : ,449.98612694567043,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,14,    ,state : ,67264.284959,5.494804,-30533.831201,0.730989,0.000442,2.267778,    ,"ecc,a,inc:",0.730936,24380.381761,26.990576,    ,"Reward,score : ",0.3842,0.7602,    ,    ,Normalized_State: ,0.518854,4.2e-05,-0.235528,0.730989,0.000442,0.360928,    ,    ,action_values : ,-0.015434,0.7247,0.0002,    ,    ,Mass : ,449.97996821987914,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,15,    ,state : ,67275.59609,12.521384,-30532.619119,0.730936,0.000656,2.442222,    ,"ecc,a,inc:",0.730845,24385.300257,26.976358,    ,"Reward,score : ",0.7234,1.4836,    ,    ,Normalized_State: ,0.518941,9.7e-05,-0.235518,0.730936,0.000656,0.388692,    ,    ,action_values : ,-0.194706,0.8834,0.0002,    ,    ,Mass : ,449.971077691028,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,16,    ,state : ,67291.966203,24.061023,-30525.16124,0.730844,0.000929,2.616667,    ,"ecc,a,inc:",0.730636,24391.456697,26.952243,    ,"Reward,score : ",1.2872,2.7707,    ,    ,Normalized_State: ,0.519067,0.000186,-0.235461,0.730844,0.000929,0.416455,    ,    ,action_values : ,-0.149665,0.7911,0.0002,    ,    ,Mass : ,449.95821460304336,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,17,    ,state : ,67322.501031,37.108517,-30513.744271,0.730635,0.001276,2.791111,    ,"ecc,a,inc:",0.730337,24397.267167,26.909042,    ,"Reward,score : ",2.0332,4.8039,    ,    ,Normalized_State: ,0.519303,0.000286,-0.235373,0.730635,0.001276,0.444219,    ,    ,action_values : ,-0.131983,0.9217,0.0002,    ,    ,Mass : ,449.94009813981387,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
