ep : ,1,    ,ep_step : ,1,    ,state : ,129553.7033,68.507,190.09818,0.003963,0.003109,1.97471,    ,"ecc,a,inc:",0.005036,42109.069672,0.089324,    ,"Reward,score : ",0.0184,0.0184,    ,    ,Normalized_State: ,0.999333,0.000528,0.001466,0.003963,0.003109,0.314285,    ,    ,action_values : ,0.645608,-0.2596,0.0002,    ,    ,Mass : ,414.631,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,2,    ,state : ,129554.112389,68.382203,190.045219,0.003958,0.003114,1.976454,    ,"ecc,a,inc:",0.005036,42109.33776,0.089281,    ,"Reward,score : ",0.0184,0.0368,    ,    ,Normalized_State: ,0.999336,0.000527,0.001466,0.003958,0.003114,0.314562,    ,    ,action_values : ,0.630373,-0.2681,0.0002,    ,    ,Mass : ,414.6308523720418,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,3,    ,state : ,129554.525177,68.253471,189.99031,0.003954,0.003119,1.978199,    ,"ecc,a,inc:",0.005035,42109.596708,0.089227,    ,"Reward,score : ",0.0181,0.0549,    ,    ,Normalized_State: ,0.999339,0.000526,0.001466,0.003954,0.003119,0.31484,    ,    ,action_values : ,0.644067,-0.3453,0.0002,    ,    ,Mass : ,414.63070474205256,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,4,    ,state : ,129554.923933,68.089028,189.919669,0.003949,0.003124,1.979943,    ,"ecc,a,inc:",0.005035,42109.858738,0.089169,    ,"Reward,score : ",0.0182,0.0731,    ,    ,Normalized_State: ,0.999343,0.000525,0.001465,0.003949,0.003124,0.315118,    ,    ,action_values : ,0.614582,-0.3717,0.0002,    ,    ,Mass : ,414.63055711005694,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,5,    ,state : ,129555.327347,67.912711,189.843531,0.003945,0.003128,1.981688,    ,"ecc,a,inc:",0.005034,42110.116342,0.089123,    ,"Reward,score : ",0.0182,0.0913,    ,    ,Normalized_State: ,0.999346,0.000524,0.001464,0.003945,0.003128,0.315395,    ,    ,action_values : ,0.674174,-0.2896,0.0002,    ,    ,Mass : ,414.6304094760266,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,6,    ,state : ,129555.72413,67.774221,189.783539,0.00394,0.003133,1.983432,    ,"ecc,a,inc:",0.005033,42110.364583,0.089073,    ,"Reward,score : ",0.0179,0.1091,    ,    ,Normalized_State: ,0.999349,0.000523,0.001464,0.00394,0.003133,0.315673,    ,    ,action_values : ,0.709452,-0.3138,0.0002,    ,    ,Mass : ,414.6302618399129,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,7,    ,state : ,129556.106601,67.624613,189.718362,0.003935,0.003137,1.985177,    ,"ecc,a,inc:",0.005032,42110.600732,0.089011,    ,"Reward,score : ",0.0174,0.1265,    ,    ,Normalized_State: ,0.999352,0.000522,0.001463,0.003935,0.003137,0.315951,    ,    ,action_values : ,0.729929,-0.3992,0.0002,    ,    ,Mass : ,414.63011420175076,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,8,    ,state : ,129556.470508,67.436306,189.635789,0.003931,0.003142,1.986921,    ,"ecc,a,inc:",0.005031,42110.849319,0.088947,    ,"Reward,score : ",0.0177,0.1442,    ,    ,Normalized_State: ,0.999354,0.00052,0.001463,0.003931,0.003142,0.316228,    ,    ,action_values : ,0.664726,-0.4083,0.0002,    ,    ,Mass : ,414.62996656154786,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,9,    ,state : ,129556.853374,67.24409,189.551114,0.003926,0.003146,1.988666,    ,"ecc,a,inc:",0.005031,42111.111156,0.088899,    ,"Reward,score : ",0.0183,0.1626,    ,    ,Normalized_State: ,0.999357,0.000519,0.001462,0.003926,0.003146,0.316506,    ,    ,action_values : ,0.649794,-0.2994,0.0002,    ,    ,Mass : ,414.6298189192713,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,10,    ,state : ,129557.256601,67.101461,189.488132,0.003922,0.003151,1.99041,    ,"ecc,a,inc:",0.00503,42111.353891,0.088839,    ,"Reward,score : ",0.0176,0.1802,    ,    ,Normalized_State: ,0.999361,0.000518,0.001462,0.003922,0.003151,0.316784,    ,    ,action_values : ,0.708668,-0.3781,0.0002,    ,    ,Mass : ,414.6296712748923,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,11,    ,state : ,129557.630591,66.923027,189.408805,0.003917,0.003155,1.992154,    ,"ecc,a,inc:",0.005029,42111.601518,0.088766,    ,"Reward,score : ",0.0176,0.1978,    ,    ,Normalized_State: ,0.999363,0.000516,0.001461,0.003917,0.003155,0.317061,    ,    ,action_values : ,0.632816,-0.4688,0.0002,    ,    ,Mass : ,414.62952362848756,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,12,    ,state : ,129558.011887,66.704774,189.311223,0.003913,0.00316,1.993899,    ,"ecc,a,inc:",0.005028,42111.852894,0.088704,    ,"Reward,score : ",0.0179,0.2156,    ,    ,Normalized_State: ,0.999366,0.000515,0.00146,0.003913,0.00316,0.317339,    ,    ,action_values : ,0.657108,-0.3964,0.0002,    ,    ,Mass : ,414.6293759800483,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,13,    ,state : ,129558.399029,66.518458,189.227606,0.003908,0.003164,1.995643,    ,"ecc,a,inc:",0.005028,42112.116897,0.088654,    ,"Reward,score : ",0.0184,0.234,    ,    ,Normalized_State: ,0.999369,0.000513,0.00146,0.003908,0.003164,0.317617,    ,    ,action_values : ,0.633703,-0.3121,0.0002,    ,    ,Mass : ,414.6292283295135,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,14,    ,state : ,129558.805546,66.370437,189.160985,0.003903,0.003169,1.997388,    ,"ecc,a,inc:",0.005027,42112.369986,0.088598,    ,"Reward,score : ",0.018,0.2521,    ,    ,Normalized_State: ,0.999372,0.000512,0.001459,0.003903,0.003169,0.317894,    ,    ,action_values : ,0.671265,-0.3506,0.0002,    ,    ,Mass : ,414.6290806768916,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,15,    ,state : ,129559.19537,66.204964,189.086081,0.003899,0.003173,1.999132,    ,"ecc,a,inc:",0.005026,42112.636001,0.088559,    ,"Reward,score : ",0.0185,0.2706,    ,    ,Normalized_State: ,0.999375,0.000511,0.001459,0.003899,0.003173,0.318172,    ,    ,action_values : ,0.650092,-0.2421,0.0002,    ,    ,Mass : ,414.6289330222371,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,16,    ,state : ,129559.605038,66.089636,189.033802,0.003894,0.003178,2.000877,    ,"ecc,a,inc:",0.005025,42112.888235,0.088503,    ,"Reward,score : ",0.018,0.2886,    ,    ,Normalized_State: ,0.999379,0.00051,0.001458,0.003894,0.003178,0.318449,    ,    ,action_values : ,0.674807,-0.3521,0.0002,    ,    ,Mass : ,414.6287853654876,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,17,    ,state : ,129559.993558,65.923711,188.957989,0.003889,0.003183,2.002621,    ,"ecc,a,inc:",0.005025,42113.168952,0.088451,    ,"Reward,score : ",0.0188,0.3074,    ,    ,Normalized_State: ,0.999382,0.000509,0.001458,0.003889,0.003183,0.318727,    ,    ,action_values : ,0.533988,-0.3283,0.0002,    ,    ,Mass : ,414.62863770673835,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,18,    ,state : ,129560.425511,65.768776,188.886955,0.003885,0.003188,2.004366,    ,"ecc,a,inc:",0.005025,42113.444897,0.088404,    ,"Reward,score : ",0.0187,0.3261,    ,    ,Normalized_State: ,0.999385,0.000507,0.001457,0.003885,0.003188,0.319005,    ,    ,action_values : ,0.580381,-0.2905,0.0002,    ,    ,Mass : ,414.6284900459434,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,19,    ,state : ,129560.850255,65.631238,188.823656,0.00388,0.003193,2.00611,    ,"ecc,a,inc:",0.005024,42113.717083,0.088344,    ,"Reward,score : ",0.0185,0.3446,    ,    ,Normalized_State: ,0.999388,0.000506,0.001457,0.00388,0.003193,0.319282,    ,    ,action_values : ,0.556516,-0.3748,0.0002,    ,    ,Mass : ,414.62834238311723,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,20,    ,state : ,129561.269144,65.455528,188.742264,0.003875,0.003198,2.007854,    ,"ecc,a,inc:",0.005024,42113.99181,0.088298,    ,"Reward,score : ",0.0187,0.3634,    ,    ,Normalized_State: ,0.999391,0.000505,0.001456,0.003875,0.003198,0.31956,    ,    ,action_values : ,0.587753,-0.289,0.0002,    ,    ,Mass : ,414.6281947183051,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,21,    ,state : ,129561.692037,65.318914,188.678809,0.003871,0.003203,2.009599,    ,"ecc,a,inc:",0.005024,42114.274064,0.08825,    ,"Reward,score : ",0.0189,0.3823,    ,    ,Normalized_State: ,0.999395,0.000504,0.001455,0.003871,0.003203,0.319838,    ,    ,action_values : ,0.543032,-0.2946,0.0002,    ,    ,Mass : ,414.62804705143236,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,22,    ,state : ,129562.126382,65.179836,188.613919,0.003866,0.003208,2.011343,    ,"ecc,a,inc:",0.005023,42114.527011,0.088192,    ,"Reward,score : ",0.0181,0.4003,    ,    ,Normalized_State: ,0.999398,0.000503,0.001455,0.003866,0.003208,0.320115,    ,    ,action_values : ,0.667127,-0.3614,0.0002,    ,    ,Mass : ,414.62789938254735,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,23,    ,state : ,129562.515979,65.010516,188.534387,0.003861,0.003213,2.013088,    ,"ecc,a,inc:",0.005023,42114.801944,0.088135,    ,"Reward,score : ",0.0186,0.419,    ,    ,Normalized_State: ,0.999401,0.000501,0.001454,0.003861,0.003213,0.320393,    ,    ,action_values : ,0.551379,-0.3572,0.0002,    ,    ,Mass : ,414.6277517116573,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,24,    ,state : ,129562.939083,64.843232,188.455501,0.003857,0.003218,2.014832,    ,"ecc,a,inc:",0.005022,42115.061541,0.088074,    ,"Reward,score : ",0.0182,0.4372,    ,    ,Normalized_State: ,0.999404,0.0005,0.001454,0.003857,0.003218,0.320671,    ,    ,action_values : ,0.622804,-0.3814,0.0002,    ,    ,Mass : ,414.6276040387252,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,25,    ,state : ,129563.338787,64.665277,188.37114,0.003852,0.003222,2.016577,    ,"ecc,a,inc:",0.005022,42115.32805,0.088011,    ,"Reward,score : ",0.0184,0.4556,    ,    ,Normalized_State: ,0.999407,0.000499,0.001453,0.003852,0.003222,0.320948,    ,    ,action_values : ,0.578402,-0.3924,0.0002,    ,    ,Mass : ,414.6274563637688,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,26,    ,state : ,129563.749004,64.482595,188.284146,0.003847,0.003227,2.018321,    ,"ecc,a,inc:",0.005021,42115.604061,0.087966,    ,"Reward,score : ",0.0188,0.4744,    ,    ,Normalized_State: ,0.999411,0.000497,0.001452,0.003847,0.003227,0.321226,    ,    ,action_values : ,0.586634,-0.276,0.0002,    ,    ,Mass : ,414.62730868677494,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,27,    ,state : ,129564.173873,64.35261,188.222128,0.003843,0.003232,2.020066,    ,"ecc,a,inc:",0.00502,42115.83398,0.087905,    ,"Reward,score : ",0.0173,0.4917,    ,    ,Normalized_State: ,0.999414,0.000496,0.001452,0.003843,0.003232,0.321503,    ,    ,action_values : ,0.767971,-0.3784,0.0002,    ,    ,Mass : ,414.6271610077035,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,28,    ,state : ,129564.52831,64.176432,188.137424,0.003838,0.003236,2.02181,    ,"ecc,a,inc:",0.005019,42116.095804,0.087853,    ,"Reward,score : ",0.0184,0.5102,    ,    ,Normalized_State: ,0.999417,0.000495,0.001451,0.003838,0.003236,0.321781,    ,    ,action_values : ,0.642016,-0.3194,0.0002,    ,    ,Mass : ,414.62701332661646,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
