ep : ,1,    ,ep_step : ,1,    ,state : ,70532.88179,0.0,-26991.765301,0.8705,0.0,0.0,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",0.1556,0.1556,    ,    ,Normalized_State: ,0.544067,0.0,-0.208205,0.8705,0.0,0.0,    ,    ,action_values : ,2.859185,0.3566,0.0,    ,    ,Mass : ,1200.0,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,2,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,0.174444,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",-0.003,0.1526,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.027764,    ,    ,action_values : ,2.749765,0.361,0.0,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,3,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,0.348889,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",-0.003,0.1496,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.055527,    ,    ,action_values : ,2.781005,0.0817,0.0,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,4,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,0.523333,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",-0.003,0.1466,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.083291,    ,    ,action_values : ,2.593798,0.0208,0.0,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,5,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,0.697778,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",-0.003,0.1436,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.111055,    ,    ,action_values : ,2.806659,0.352,0.0,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,6,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,0.872222,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",-0.003,0.1406,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.138818,    ,    ,action_values : ,2.876165,0.2718,0.0,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,7,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,1.046667,    ,"ecc,a,inc:",0.870488,51520.265327,22.50007,    ,"Reward,score : ",-0.003,0.1376,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.166582,    ,    ,action_values : ,2.888638,-0.0166,0.0,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,8,    ,state : ,70532.658975,0.007546,-26991.75948,0.870488,1e-06,1.221111,    ,"ecc,a,inc:",0.870465,51510.704951,22.500068,    ,"Reward,score : ",0.3165,0.4541,    ,    ,Normalized_State: ,0.544065,0.0,-0.208205,0.870488,1e-06,0.194346,    ,    ,action_values : ,2.646169,-0.0096,0.0004,    ,    ,Mass : ,1199.9986278566544,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,9,    ,state : ,70531.884605,-0.000651,-26991.461148,0.870465,-2.1e-05,1.395556,    ,"ecc,a,inc:",0.870439,51499.674616,22.500095,    ,"Reward,score : ",0.3637,0.8178,    ,    ,Normalized_State: ,0.544059,-0.0,-0.208203,0.870465,-2.1e-05,0.22211,    ,    ,action_values : ,2.455379,0.3137,0.0004,    ,    ,Mass : ,1199.9954353162711,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,10,    ,state : ,70530.925963,0.399543,-26991.124636,0.870439,-4.6e-05,1.57,    ,"ecc,a,inc:",0.870407,51485.385836,22.500092,    ,"Reward,score : ",0.4664,1.2842,    ,    ,Normalized_State: ,0.544052,3e-06,-0.2082,0.870439,-4.6e-05,0.249873,    ,    ,action_values : ,2.517469,0.0183,0.0004,    ,    ,Mass : ,1199.9912911648762,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,11,    ,state : ,70529.254209,0.437051,-26990.481628,0.870407,-9.2e-05,1.744444,    ,"ecc,a,inc:",0.870368,51467.824101,22.500327,    ,"Reward,score : ",0.5657,1.8499,    ,    ,Normalized_State: ,0.544039,3e-06,-0.208195,0.870407,-9.2e-05,0.277637,    ,    ,action_values : ,2.264249,-0.3164,0.0004,    ,    ,Mass : ,1199.9856686234525,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
