ep : ,1,    ,ep_step : ,1,    ,state : ,129716.958,-94.25024,96.79678,0.001664,-0.0008,4.842,    ,"ecc,a,inc:",0.001847,42214.115161,0.059762,    ,"Reward,score : ",-0.0272,-0.0272,    ,    ,Normalized_State: ,1.000592,-0.000727,0.000747,0.001664,-0.0008,0.770628,    ,    ,action_values : ,0.405407,1.3407,0.0004,    ,    ,Mass : ,1116.8042613106352,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,2,    ,state : ,129717.028732,-94.576058,96.754083,0.001664,-0.000801,4.843744,    ,"ecc,a,inc:",0.001848,42214.172931,0.059847,    ,"Reward,score : ",-0.0244,-0.0516,    ,    ,Normalized_State: ,1.000593,-0.00073,0.000746,0.001664,-0.000801,0.770906,    ,    ,action_values : ,-0.438826,1.2764,0.0004,    ,    ,Mass : ,1116.804557928494,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,3,    ,state : ,129717.117376,-94.896237,96.711573,0.001664,-0.000802,4.845489,    ,"ecc,a,inc:",0.001851,42214.375627,0.05984,    ,"Reward,score : ",-0.0976,-0.1493,    ,    ,Normalized_State: ,1.000594,-0.000732,0.000746,0.001664,-0.000802,0.771184,    ,    ,action_values : ,0.395159,-0.0741,0.0004,    ,    ,Mass : ,1116.8048545445788,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,4,    ,state : ,129717.427966,-94.87172,96.715139,0.001666,-0.000807,4.847233,    ,"ecc,a,inc:",0.00185,42214.43609,0.059785,    ,"Reward,score : ",-0.0002,-0.1495,    ,    ,Normalized_State: ,1.000596,-0.000732,0.000746,0.001666,-0.000807,0.771461,    ,    ,action_values : ,-1.210436,-0.6724,0.0004,    ,    ,Mass : ,1116.805151158949,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,5,    ,state : ,129717.521052,-94.663531,96.743647,0.001664,-0.000809,4.848978,    ,"ecc,a,inc:",0.001851,42214.398284,0.059862,    ,"Reward,score : ",-0.0066,-0.1561,    ,    ,Normalized_State: ,1.000597,-0.00073,0.000746,0.001664,-0.000809,0.771739,    ,    ,action_values : ,1.918177,1.0394,0.0004,    ,    ,Mass : ,1116.8054477714431,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,6,    ,state : ,129717.462839,-94.951655,96.703741,0.001665,-0.000808,4.850722,    ,"ecc,a,inc:",0.001849,42214.232914,0.059914,    ,"Reward,score : ",0.0519,-0.1042,    ,    ,Normalized_State: ,1.000596,-0.000732,0.000746,0.001665,-0.000808,0.772016,    ,    ,action_values : ,2.765791,0.6296,0.0004,    ,    ,Mass : ,1116.8057443818211,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,7,    ,state : ,129717.209131,-95.148239,96.675982,0.001666,-0.000804,4.852467,    ,"ecc,a,inc:",0.001848,42214.138442,0.059834,    ,"Reward,score : ",0.0348,-0.0694,    ,    ,Normalized_State: ,1.000594,-0.000734,0.000746,0.001666,-0.000804,0.772294,    ,    ,action_values : ,2.964268,-1.1194,0.0004,    ,    ,Mass : ,1116.8060409910552,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,8,    ,state : ,129717.064242,-94.847502,96.718531,0.001665,-0.000801,4.854211,    ,"ecc,a,inc:",0.001849,42214.134951,0.059752,    ,"Reward,score : ",-0.011,-0.0804,    ,    ,Normalized_State: ,1.000593,-0.000732,0.000746,0.001665,-0.000801,0.772572,    ,    ,action_values : ,1.618499,-1.2199,0.0004,    ,    ,Mass : ,1116.8063375996421,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,9,    ,state : ,129717.058711,-94.533843,96.76359,0.001666,-0.000801,4.855956,    ,"ecc,a,inc:",0.001851,42214.218853,0.059819,    ,"Reward,score : ",-0.0568,-0.1372,    ,    ,Normalized_State: ,1.000593,-0.000729,0.000746,0.001666,-0.000801,0.772849,    ,    ,action_values : ,0.934161,0.8764,0.0004,    ,    ,Mass : ,1116.8066342068266,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,10,    ,state : ,129717.187088,-94.790524,96.726364,0.001668,-0.000803,4.8577,    ,"ecc,a,inc:",0.00185,42214.077198,0.059755,    ,"Reward,score : ",0.0479,-0.0893,    ,    ,Normalized_State: ,1.000594,-0.000731,0.000746,0.001668,-0.000803,0.773127,    ,    ,action_values : ,2.784162,-0.8128,0.0004,    ,    ,Mass : ,1116.8069308117267,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,11,    ,state : ,129716.969773,-94.547934,96.761896,0.001668,-0.0008,4.859444,    ,"ecc,a,inc:",0.00185,42214.089751,0.059668,    ,"Reward,score : ",-0.0056,-0.0949,    ,    ,Normalized_State: ,1.000593,-0.000729,0.000746,0.001668,-0.0008,0.773405,    ,    ,action_values : ,0.064172,-1.5136,0.0004,    ,    ,Mass : ,1116.807227415631,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
